file,line,status,issue,id,suggestion
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl,1,missing_keys,Missing required keys: title,bankroll_and_variance_management:demo:01,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl,1,invalid_id,id must match ^[a-z0-9_]+$,bankroll_and_variance_management:demo:01,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl,2,missing_keys,Missing required keys: title,bankroll_and_variance_management:demo:02,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl,2,invalid_id,id must match ^[a-z0-9_]+$,bankroll_and_variance_management:demo:02,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl,3,missing_keys,Missing required keys: title,bankroll_and_variance_management:demo:03,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl,3,invalid_id,id must match ^[a-z0-9_]+$,bankroll_and_variance_management:demo:03,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,1,missing_keys,Missing required keys: title,bankroll_and_variance_management:drill:01,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,1,invalid_id,id must match ^[a-z0-9_]+$,bankroll_and_variance_management:drill:01,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,2,missing_keys,Missing required keys: title,bankroll_and_variance_management:drill:02,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,2,invalid_id,id must match ^[a-z0-9_]+$,bankroll_and_variance_management:drill:02,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,3,missing_keys,Missing required keys: title,bankroll_and_variance_management:drill:03,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,3,invalid_id,id must match ^[a-z0-9_]+$,bankroll_and_variance_management:drill:03,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,4,missing_keys,Missing required keys: title,bankroll_and_variance_management:drill:04,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,4,invalid_id,id must match ^[a-z0-9_]+$,bankroll_and_variance_management:drill:04,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,5,missing_keys,Missing required keys: title,bankroll_and_variance_management:drill:05,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,5,invalid_id,id must match ^[a-z0-9_]+$,bankroll_and_variance_management:drill:05,Review and correct
/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl,6,missing_keys,Missing required keys: title,bankroll_and_variance_management:drill:06,Review and correct
